,date,Chinawords,Italywords,USwords,Outbreakwords,twitter_number
0,2020-01-21,5,0,4,0,224
1,2020-01-22,199,0,57,45,28520
2,2020-01-23,1436,3,107,524,186460
3,2020-01-24,3207,0,487,1054,660769
4,2020-01-25,3558,2,448,1320,998717
5,2020-01-26,3802,1,708,1142,1356180
6,2020-01-27,3383,9,644,1095,989434
7,2020-01-28,4063,5,644,1202,875551
8,2020-01-29,6755,9,1028,1286,1909260
9,2020-01-30,7147,177,1299,1603,2358087
10,2020-01-31,6977,127,1356,1316,2145603
11,2020-02-01,2732,33,479,489,940959
12,2020-02-02,3018,13,431,466,1058172
13,2020-02-03,3113,12,533,633,1045023
14,2020-02-04,3414,8,575,669,1168053
15,2020-02-05,3010,7,555,575,1062568
16,2020-02-06,3739,11,573,714,1136920
17,2020-02-07,3129,17,525,573,1032614
18,2020-02-08,2937,8,436,455,969686
19,2020-02-09,3075,6,457,461,1000828
20,2020-02-10,3264,11,597,574,1076780
21,2020-02-11,2940,8,675,523,1109326
22,2020-02-12,2878,10,554,564,1052105
23,2020-02-13,3255,8,660,586,1121186
24,2020-02-14,3198,12,645,586,1033950
25,2020-02-15,2880,6,551,399,922857
26,2020-02-16,2565,13,472,386,938638
27,2020-02-17,3140,7,609,524,985045
28,2020-02-18,3251,5,547,516,1080332
29,2020-02-19,2821,4,501,443,959982
30,2020-02-20,3067,14,615,497,1043570
31,2020-02-21,2506,91,671,543,1074836
32,2020-02-22,1823,193,589,389,946039
33,2020-02-24,1217,238,1022,450,886376
34,2020-02-25,924,154,1064,386,962555
35,2020-02-26,1138,107,1641,660,1160877
36,2020-02-27,2161,286,2531,942,1163270
37,2020-02-28,4219,558,5954,1788,2057115
38,2020-02-29,3704,543,4037,1556,3735380
39,2020-03-01,721,125,879,383,2822686
40,2020-03-02,3093,506,3411,1764,988049
41,2020-03-03,3206,689,2710,1845,3172658
42,2020-03-04,831,160,985,484,3408778
43,2020-03-05,884,168,1268,494,1170131
44,2020-03-06,746,188,1272,452,1194625
45,2020-03-07,729,366,1323,420,1181183
46,2020-03-08,821,300,1273,442,1156984
47,2020-03-09,805,362,1070,416,1136076
48,2020-03-10,667,249,1005,402,1099542
49,2020-03-11,707,189,1162,318,1145287
50,2020-03-12,800,166,1324,290,1073823
51,2020-03-13,529,163,1020,255,1072390
52,2020-03-14,492,209,930,234,1099324
53,2020-03-15,470,164,798,254,1086235
54,2020-03-16,856,131,883,222,1033232
55,2020-03-17,1024,107,905,206,1033019
56,2020-03-18,1123,174,1005,260,913230
57,2020-03-19,885,192,1034,229,1037389
58,2020-03-20,786,225,1122,228,1057868
59,2020-03-21,799,295,1114,210,969326
60,2020-03-22,627,209,1130,236,1079005
61,2020-03-23,632,152,1150,199,1063851
62,2020-03-24,679,105,1241,254,1041141
63,2020-03-25,957,140,1261,228,1087725
64,2020-03-26,937,158,1361,230,1078090
65,2020-03-27,768,142,1236,192,1127283
66,2020-03-28,1049,120,1396,242,1101188
67,2020-03-29,838,99,1284,240,1063145
68,2020-03-30,778,104,1407,284,1099972
69,2020-03-31,1012,98,1663,271,1100934
70,2020-04-01,888,67,1364,250,1143279
71,2020-04-02,821,66,1354,228,1084879
72,2020-04-03,984,103,1425,251,1059407
73,2020-04-04,912,78,1338,225,1079842
74,2020-04-05,781,82,1409,198,1081600
75,2020-04-06,935,78,1497,195,1064692
76,2020-04-07,1060,71,1389,232,1076868
77,2020-04-08,927,76,1245,220,1079790
78,2020-04-09,970,56,1185,206,1056400
79,2020-04-10,918,97,1240,188,995210
80,2020-04-11,927,68,1171,161,1047513
81,2020-04-12,1040,72,1452,188,1044214
82,2020-04-13,1060,45,1428,202,1050159
83,2020-04-14,1330,35,1592,220,1039458
84,2020-04-15,1280,60,1417,195,1034828
85,2020-04-16,883,28,1162,196,1041689
86,2020-04-17,694,37,1286,178,866468
87,2020-04-18,680,40,1358,202,985827
88,2020-04-19,582,42,1410,173,1028921
89,2020-04-20,448,50,1389,186,1052588
90,2020-04-21,514,35,1417,178,1051722
91,2020-04-22,502,29,1386,173,1054462
92,2020-04-23,409,37,1429,170,1048421
93,2020-04-24,447,36,1319,138,970964
94,2020-04-25,449,35,1150,136,1031749
95,2020-04-26,476,56,1176,178,1010264
96,2020-04-27,435,34,1200,150,1013370
97,2020-04-28,423,34,1264,152,977837
98,2020-04-29,437,43,1196,160,985501
99,2020-04-30,421,23,1052,144,907604
